index,smiles,ames
train_144,CC(C)OC(=O)C1=C(C)N=C(N)C(=C(O)OC2CN(C2)C(c2ccccc2)c2ccccc2)C1c1cccc(c1)[N+](=O)[O-],0
train_145,C1CN=C(N1)c1ccc(cc1)c1cc2ccc(cc2[nH]1)C1=NCCN1,0
train_146,CC1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1,1
train_147,CCCCCCOC(=O)C=C,0
train_148,CN(C)N=Nc1ccc(cc1)C(=O)O,0
train_149,ClC(Cl)(Cl)c1ccccc1,1
train_150,CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC/C=C/CCCCCCCC,0
train_151,CC1(C)OC1COc1c2oc(=O)ccc2cc2ccoc12,0
train_152,CCC(CC)[N+](=O)[O-],0
train_153,CCCC(=O)/N=c/1\sn(C(=O)CCC)c2ccc(cc12)[N+](=O)[O-],1
train_154,Cc1ccc(cc1)C#N,0
train_155,[O-][N+](=O)c1ccc2ccc3ccc(c4c5ccccc5c1c2c34)[N+](=O)[O-],0
train_156,COc1nsc2cc(OCC3CO3)ccc12,1
train_157,OC(=O)c1c(Cl)c(Cl)c(Cl)c2oc3c(Br)c(O)c(Br)cc3c(=O)c12,0
train_158,CCCCN(N=O)C(=N)N[N+](=O)[O-],1
train_159,CCCON=O,1
train_160,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,0
train_161,OC1C2OC2C2=C(C=CC3C2c2cccc4cccc3c24)C1O,1
train_162,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,0
train_163,C1Cc2ccc3ccc4ccccc4c3c2C1,1
train_164,NCCC#N,0
train_165,Clc1cccc2oc3ccccc3c12,0
train_166,C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc12,1
train_167,CCCCC,0
train_168,Cc1cccc(O)c1,0
train_169,CCCC(=O)OCc1ccccc1[N+](=O)[O-],0
train_170,BrCc1ccccc1,1
train_171,NC(CCN=N#N)C(=O)O,1
train_172,COc1ccc2oc(cc2c1N(CCCl)CCCl)[N+](=O)[O-],1
train_173,CC(C)CCOC(=O)/C=C\c1ccccc1,0
train_174,FC(F)(F)c1ccccc1Cl,0
train_175,Cc1ccc(cc1)S(=O)(=O)NN,1
train_177,Cc1ccccc1S(=O)(=O)N,0
train_178,Cc1cnc(S)nc1O,0
train_179,[O-][N+](=O)c1ccc(Cl)c(c1)[N+](=O)[O-],1
train_180,c1cc2ccc3cncc4ccc(c1)c2c34,1
train_181,ClC(=C1C(=O)NC(=O)C1(Cl)Cl)Cl,1
train_182,c1ccc2cc3c(ccc4cccnc34)cc2c1,1
train_183,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,1
train_184,Cc1ccc(N)c(C)c1,1
train_185,CN(C[C@H](O)CO)N=O,1
train_186,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(c1)C(F)(F)F,0
train_187,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,1
train_188,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,1
train_189,CC12CCCC(C)(C1CCC13CC(O)(CCC21)C1(CO1)C3)C(=O)O,0
train_190,O[C@H]1C=Cc2c(ccc3-c4cccc5cccc(-c23)c45)[C@@H]1O,1
train_191,CC1C2C(=Nc3ccccc23)N(C)c2ccc(C)cc12,1
train_192,OC(=O)/C=C/c1ccc(Cl)cc1,0
train_193,CCc1ccc(cc1)[N+](=O)[O-],0
train_194,NC(=O)CCCCC(=O)N,0
train_195,[O-][N+](=O)c1cccc2c1ccc1cccc(c21)[N+](=O)[O-],1
train_196,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0
train_197,OC(=O)C1Cc2c(CN1)[nH]c1ccccc21,0
train_198,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O,0
train_199,NC(CS/C(=C(\Cl)/C(Cl)(Cl)Cl)/Cl)C(=O)O,1
train_200,[O-][N+](=O)c1ccc(cc1)C(=O)ON(OCc1ccccc1)C(=O)c1ccccc1,1
train_201,COc1cccc(N)c1,1
train_202,CCCNC(=O)/C=C/c1oc(cc1)[N+](=O)[O-],1
train_204,Cc1cc(ccc1N=Nc1c(O)c2c(O)cc(cc2cc1S(=O)(=O)O)S(=O)(=O)O)c1ccc(N=Nc2c(O)c3c(O)cc(cc3cc2S(=O)(=O)O)S(=O)(=O)O)c(C)c1,0
train_205,CN(C)c1ccc(cc1)N=O,1
train_206,CN(C)N=Nc1ccc(Br)cc1,1
train_207,CC(=C)C(=O)OC(C)(C)C,0
train_208,CCc1ccccc1,0
train_209,Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,0
train_210,Nc1ccc2-c3ccccc3-c3cccc1c23,1
train_211,CNCc1oc(CSCCN=C(NC[C@H](O)c2ccc(O)cc2)NS(=O)(=O)C)cc1,0
train_212,Nc1ccc(cc1C#N)[N+](=O)[O-],1
train_213,Cc1cccc(N)c1N,1
train_215,Nc1cccc2cccnc12,1
train_216,CC(=O)C(N=Nc1ccc(cc1Cl)c1ccc(N=NC(C(=O)C)C(=O)Nc2ccc(C)cc2C)c(Cl)c1)C(=O)Nc1ccc(C)cc1C,0
train_217,N#CCCNCCC#N,0
train_218,CC(C)C=O,0
train_219,Nc1nc2cc(Cl)c(Cl)cc2s1,0
train_220,COc1ccc(C=C)cc1,0
train_221,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC12C,0
train_222,Clc1ccnc2ccccc12,1
train_223,COC1=CC(=O)c2c([nH]cc3-c2nc2c3cncc2)C1=O,1
train_224,ClCC1=C(Br)C(=O)OC1,1
train_225,CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(Cl)cc12,0
train_226,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@@H]6N(C)CCc7cc(OC)c(OC)c(Oc(c1)c23)c67)ccc5OC)cc4,1
train_227,CN1CCN(CC1)c1ccc2[nH]c(nc2c1)c1ccc2[nH]c(nc2c1)c1ccc(O)cc1,0
train_228,OS(=O)(=O)C1=CC(=O)C(=O)c2ccccc12,1
train_229,Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc1ncc(s1)[N+](=O)[O-],0
train_231,Cc1c(ccc2ccccc12)[N+](=O)[O-],1
train_232,CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c1ccccc1,1
train_234,CC(C)CCOCC(=O)OCC=C,0
train_235,Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H]1Cl,0
train_236,OC1C2OC2c2c(ccc3cc4ccc5ccccc5c4nc23)C1O,1
train_237,C[C@]12CC[C@@H]3[C@@H](CCc4cc(O)ccc34)[C@H]1CC[C@@H]2O,0
train_238,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0
train_240,CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,1
train_241,COc1cc2C(=O)CCc2c2c(C)cc3ccccc3c12,1
train_242,CCOc1ccccc1C(=O)N,0
train_243,OS(=O)(=O)c1ccc2cc(Oc3ccc4cc(ccc4c3)S(=O)(=O)O)ccc2c1,0
train_244,CS(=O)c1ccc(Cl)cc1,0
train_245,CCCCCCCC/C=C\CCCCCCCCN,1
train_246,NCCCNCCCN,0
train_247,NCCNCCO,1
train_248,COC(=O)[C@]12O[C@@]1(C)[C@@](O)(NC2=O)C(C)C,1
train_249,CCOS(=O)(=O)OCC,1
train_250,COc1cc(O)c2C(=O)c3c(O)cc(C)cc3Cc2c1,1
train_251,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@]2(O)C#C,0
train_252,Cc1ccc(OC[C@H]2CO2)cc1,1
train_253,[O-][N+](=O)c1ccc2c3ccccc3cc(c2c1)[N+](=O)[O-],1
train_254,CC1=CC(=O)c2ccccc2C1=O,1
train_255,CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1,0
train_256,Cc1ccc(Cl)cc1[N+](=O)[O-],0
train_257,O=C([C@@H]1CO1)c1ccc2OCOc2c1,1
train_258,CCCC(=O)OC1CCCCC1,0
train_259,CC1Cc2c(O)c(C)c3C4C(CCC(=C)c3c2C1=O)C4(C)C,0
train_260,CCC1(O)CC(OC2CC(C(OC3CC(O)C(O)C(C)O3)C(C)O2)N(C)C)c2c(O)c3C(=O)c4c(O)ccc(O)c4C(=O)c3cc2C1C(=O)OC,1
train_261,CCCCCCCCC=O,0
train_262,CS(=N)(=O)CCC(N)C(=O)O,0
train_263,COc1ccccc1NCSC,1
train_264,Clc1cccc(C=O)c1,0
train_265,CCC1=C(C(C)c2cc(O)ccc12)c1ccc(O)cc1,0
train_266,CCCCCCCCn1sccc1=O,0
train_267,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(=O)C)c(C)c(C)c2O1,0
train_268,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,0
train_269,c1ccc2cnncc2c1,0
train_270,OS(=O)(=O)OCc1c2ccccc2c2ccc3cccc4ccc1c2c34,1
train_271,O=CC(=O)c1ccccc1,1
train_272,Oc1ccc(cc1[N+](=O)[O-])c1ccc(O)c(c1)[N+](=O)[O-],0
train_273,[O-][N+](=O)c1cccc(COC(=O)c2ccccc2)c1,0
train_274,COC(=O)/C(=C/c1ccccc1Br)/C#N,0
train_275,[O-][N+](=O)c1ccc2c(oc3ccc(cc23)[N+](=O)[O-])c1,1
train_276,Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])N=[N+]([O-])c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-],1
train_277,C1CSCN1,1
train_278,OCCc1cn(N=O)c2ccccc12,1
train_279,CN(Cc1cccc(C)c1)N=O,1
train_280,CC(C)(CO)CO,0
train_281,Cln1c(=O)[nH]c(=O)n(Cl)c1=O,0
train_282,COC(=O)/C(=C/c1occc1)/C#N,0
train_283,COc1cc(c(O)c(c1)C(C)(C)C)c1cc(OC)cc(c1O)C(C)(C)C,0
train_284,Nc1ccc(cc1)C(=O)O,0
train_285,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1
train_286,OC(=O)/C=C/c1ccccc1,0
train_287,[O-][N+](=O)c1cccc(c1)C#N,1
train_288,COc1cc2CCN(C)c3cc4cc5OCOc5cc4c(c1OC)c23,0
train_289,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0
train_290,CCN(CC)c1ccc(cc1)[N+](=O)[O-],1
train_291,CCCCON(OC(=O)C)C(=O)c1ccc(cc1)C(C)(C)C,1
train_292,C/C=C(\C)/CCl,1
train_293,COc1cc(CC2CO2)ccc1O,1
train_294,Cc1c2ccccc2cc2c3C4OC4C(O)C(O)c3ccc12,1
train_295,COCCO,0
train_296,Fc1cc2ccccc2c2ncccc12,1
train_297,Cc1ccc2cc3c(ccc4ccccc34)c3CCc1c23,1
train_298,CC1(CO1)c1ccc(cc1)C#N,1
train_299,Cc1ccc(NCCO)cc1O,0
train_300,C1OCc2ccccc12,1
train_301,Fc1ccc(cc1)/C(=C/C=C/c1ccccc1)/C#N,1
train_302,COc1nc(=O)n(CC(O)CN=N#N)cc1,1
train_303,[O-][N+](=O)c1ccc(Oc2ccc(cc2)N=C=S)cc1,1
train_304,CC(C)C(C)C,0
train_305,c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,1
train_306,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(c(=O)[nH]c1=O)C(F)(F)F,1
train_307,CNc1ccccc1,0
train_308,OC(=O)C(=O)C(=O)O,0
train_309,C1c2cccc3ccc4c5ccccc5cc1c4c23,1
train_310,CC(=O)Oc1ccc2c(OC3(C)OOC23C)c1,1
train_311,CCOc1ccc(NC(=O)C)cc1[N+](=O)[O-],1
train_312,C/C=C/1\C[C@H]2C[C@@H]1C=C2,0
train_313,[O-][N+](=O)c1ccc2ccc3c4CCC=Cc4cc4ccc1c2c34,1
train_314,Nc1ncnc2c1nc(c1ccc(cc1)[N+](=O)[O-])n2c1ccc(cc1)[N+](=O)[O-],1
train_315,ON=C1CCCCC1,1
train_316,COC1=CC(=O)c2c([nH]cc3-c2nc2c3cccc2)C1=O,1
train_317,NC(=N)NNc1ccc(cc1)N=NC(=S)N,1
train_318,CCc1c2ccccc2cc2c1ccc1ccccc21,1
train_319,Cc1cnc2c(ccc3c2nc(N)n3C)n1,1
train_320,BrC(=C)C=O,1
train_321,[O-][N+](=O)c1ccnc2ccccc12,1
train_322,Cn1c(N)nc2nc3ncccc3cc12,0
train_323,CN1CCC23C4Oc5c(O)ccc(CC1C2C=CC4O)c35,0
train_324,Oc1ccc2ccc3[nH]c4ccc5ccccc5c4c3c2c1,1
train_325,CCCCCCCCCCO,0
train_326,[O-][N+](=O)c1ccc(c2ccccc2[N+](=O)[O-])c(c1)[N+](=O)[O-],1
train_327,Cc1cccc(c1)C(=O)Cl,1
train_328,OCC1OC(CC1O)n1cc(CCCl)c(=O)[nH]c1=O,1
train_329,Nc1cccc2cnsc12,1
train_330,COc1c2ccoc2[n+]([O-])c2ccccc12,0
train_331,COc1cc2O[C@@H]3OC=C[C@H]3c2c2oc3cccc(O)c3c(=O)c12,1
train_332,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,0
train_333,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C5CCC34C)C(=O)O)C2C1)C(=O)O,0
train_334,OC(=O)CCC(=O)Nc1ccc(Cl)cc1,0
train_335,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,0
train_337,COC(=O)/C(=C/c1oc(Br)cc1)/C#N,0
train_338,CC(C)(CO)C(O)C(=O)NCCC(=O)O,0
train_339,ClCc1ccc2ccc3cccc4ccc1c2c34,1
train_340,O[C@@H]1C=Cc2c(cc3ccc4c(ccc5ccc2c3c45)[N+](=O)[O-])[C@H]1O,1
train_341,c1ccc2nccnc2c1,1
train_342,N#CC1=Cc2cccc3cccc1c23,1
train_343,CN1CCc2cc3OCOc3c3-c4ccccc4CC1c23,1
train_344,CC1(C)C2CCC(=C)C1C2,0
train_345,NC(=N)NS(=O)(=O)c1ccc(N)cc1,0
train_346,CN(C)c1ccc(cc1)N=Nc1ccc(cc1)N(C)C,0
train_347,CC(C)CCCC(C)C1CCC2C3CC4OC54CC(O)CCC5(C)C3CCC12C,1
train_348,Nc1cc(c(c2ccccc2)c(c1)[N+](=O)[O-])[N+](=O)[O-],1
train_350,CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,1
train_351,C[C@@H](O)CN(C)c1ccc(NN)nn1,1
train_352,Oc1ccc(cc1)c1ccccc1,1
train_353,CC(=O)/C=C\C1=C(C)CCCC1(C)C,0
train_354,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@@H]([C@@H](O)[C@H](C)O5)N(C)C)c4c(O)c3C(=O)c12)C(=O)C,1
train_355,COc1cc(ccc1N)[N+](=O)[O-],1
train_356,C/C=C\1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([O-])CC[C@@H](OC1=O)[C@@H]23,0
train_357,COC1(NC(=O)CSCC(N)C(=O)O)C2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C,0
train_358,CN(C)CCCN1C=CN(C)C1/C=N/O,0
train_359,CC12OOC1(C)c1c(O2)ccc2ccccc12,0
train_360,CN(C)CCNC(=O)c1cccc2nc(oc12)c1ccccc1,0
train_361,OCCCCl,1
train_362,OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,0
train_363,CC(=O)OC[C@H](O)CO,1
train_364,COCC(=O)O,0
train_365,Oc1ccc2ccccc2c1N=O,0
train_366,Cc1c(N)cccc1N=Nc1cccc(N)c1C,1
train_367,Oc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],0
train_368,Clc1ccc(cc1)C(Cl)(Cl)Cl,1
train_369,CC(=O)c1ccc([nH]1)[N+](=O)[O-],1
train_370,Nc1ncnc2c1cnn2CC(O)CN=N#N,1
train_371,NC(=O)c1cnccn1,0
train_372,OC1C2OC2c2c(ccc3ccccc23)C1O,1
train_373,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0
train_374,Clc1cc(cc(Cl)c1Cl)N1C(=O)CCC1=O,0
train_375,CSc1cc(SC)c(N)c(C)c1N,1
train_376,CCN(N)c1ccccc1,1
train_377,CCOCCOCCOCC,0
train_379,CC(C)(C)OOC(C)(C)C,0
train_380,CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)C)cc1,0
train_381,Nc1cc2c3C=C[C@@H](O)[C@H](O)c3ccc2c2ccccc12,1
train_382,N/C(=N\OS(=O)(=O)O)/c1ccccc1,0
train_383,ClCc1cc2cccc3ccc4c5ccccc5cc1c4c23,1
train_384,O[C@H]1CC(=C[C@@H](O)[C@@H]1O)C(=O)O,0
train_385,CC1c2cc(C)ccc2-c2ccc(C)cc12,0
train_386,CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45,1
train_387,CC(=O)Nc1ccc(cc1)N=Nc1cc(C)ccc1O,1
train_388,CNC(=O)NOC(=O)NC,1
train_389,O=S1(=O)CCCO1,1
train_390,Cn1c(N)nc2c3cnccc3ccc12,1
train_391,OC1OC(=O)C(=C1C(Cl)Br)Cl,1
